"MLS","Address","Status","Property Type","Style","Age (Years)","Year Built","Ownership","Bedrooms","Bathrooms","House Size (sqft)","Lot Size (sqft)","List Price","Sale Price","Ask Price","Original Price","Price per Sqft","Listing Date","Sale Date","Sale Reported Date","Listing Cancel Date","Days on Market"
R2947126,3411 Anzio Drive Vancouver BC V5M4E2,expired,,,1,2024,,4,4,1538,,1548000,,,1599000,"1,007",,,,,71
R2953683,848 E 38th Avenue Vancouver BC V5W1J3,expired,,,1,2024,,3,4,1585,4026,1749800,,,1749800,"1,104",,,,,28
R2942988,198 E 44th Avenue Vancouver BC V5W1V6,expired,,,13,2012,,3,3,1050,,1250000,,,1250000,"1,190",,,,,87
R2957660,8522 Shaughnessy Street Vancouver BC V6P3Y2,expired,,,17,2008,,3,3,1157,4026,1549000,,,1549000,"1,339",,,,,12
R2945875,4867 Lanark Street Vancouver BC V5N3S1,expired,,,1,2024,,3,3,1285,,1288000,,,1288000,"1,002",,,,,69
R2942680,4869 Lanark Street Vancouver BC V5N3S1,expired,,,1,2024,,3,3,1513,,1598000,,,1598000,"1,056",,,,,83
R2944641,2-6273 Windsor Street Vancouver BC V5W3J2,expired,,,1,2024,,3,3,1493,4026,1628800,,,1628800,"1,091",,,,,70
R2944638,1-6273 Windsor Street Vancouver BC V5W3J2,expired,,,1,2024,,3,3,1450,4026,1588800,,,1588800,"1,096",,,,,70
R2926490,3860 Prince Albert Streetfinch + Benson Vancouver BC V5V1Y3,expired,,,1,2024,,3,2,1329,6039,1549900,,,1599900,"1,166",,,,,127
R2949196,1710 E 35th Avenue Vancouver BC V5P1B4,expired,,,1,2024,,3,4,1451,,1548000,,,1548000,"1,067",,,,,48
R2948899,2342 E 40th Avenue Vancouver BC V5R2V7,expired,,,1,2024,,5,4,1860,,1649900,,,1649900,887,,,,,48
R2944403,1-3644 E 28th Avenue Vancouver BC V5R1T7,expired,,,1,2024,,4,4,1512,3762,1549000,,,1549000,"1,024",,,,,69
R2941522,1-2119 E 29th Avenue Vancouver BC V5N2Z2,expired,,,2,2023,,3,4,1443,4026,1425000,,,1499900,988,,,,,78
R2932890,1-4634 Ross Street Vancouver BC V5V4T9,expired,,,1,2024,,3,4,1251,3300,1400000,,,1400000,"1,119",,,,,106
R2947605,3386 E 2nd Avenue Vancouver BC V5M1G5,expired,,,1,2024,,3,4,2076,4413,1549000,,,1549000,746,,,,,49
R2946915,1-4769 Commercial Street Vancouver BC V5N4G8,expired,,,1,2024,,3,4,1463,4112,1598760,,,1598760,"1,093",,,,,49
